date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8,yt_pred_stacked_mlp
1946-01-01,1095.0249999999996,1444.198616180507,1197.3892389014331,890,,
1946-02-01,1077.3934210526313,1417.7272045877276,1182.2558001361924,992,,
1946-03-01,1214.077631578947,1545.5715803337534,1321.147433439697,979,,
1946-04-01,1322.1302631578942,1644.7843762768762,1431.116770390894,959,,
1946-05-01,1385.0249999999996,1698.8392767431897,1495.6374952003107,1110,,
1946-06-01,1539.498684210526,1844.4731228817616,1651.4464499732087,1546,,
1946-07-01,1929.709210526316,2225.843808421344,2042.701529446432,1539,,
1946-08-01,3034.498684210526,3321.7934352765697,3148.2448388831367,3401,,
1946-09-01,2284.7092105263155,2563.164126676619,2398.9184835464816,2092,,
1946-10-01,1815.656578947368,2085.271657162996,1930.03825291015,1436,,
1946-11-01,1636.1302631578944,1896.905500358445,1750.3936206583537,1301,,
1946-12-01,1397.603947368421,1649.5393429107253,1511.458271001618,1287,,
1947-01-01,1220.8175438596486,1464.4041988594968,1362.5325221780952,1488,,
1947-02-01,1203.1859649122805,1438.9149915567698,1344.9249807775234,1517,1260.8287581197694,1205.9091766608765
1947-03-01,1339.870175438596,1567.7415715928482,1481.3748133795789,1707,1360.0203665067074,1282.3323781895363
1947-04-01,1447.9228070175434,1667.9365718260235,1588.9346515632092,1729,1434.9276830258302,1273.4332926946747
1947-05-01,1510.8175438596486,1722.9736765823895,1651.078179538941,1788,1488.1159796137486,1335.6017470015524
1947-06-01,1665.291228070175,1869.5897270110145,1804.5422394120365,2008,1665.9033804755445,1497.3697155066286
1947-07-01,2055.5017543859644,2251.9426168406494,2193.484725919339,2203,1959.1560238786856,1863.9579449148575
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324005,3713,2746.7774581373724,2894.159199623361
1947-09-01,2410.5017543859644,2591.2273436760297,2545.1733998891937,2946,2630.7031288445523,2863.775341039616
